grid_id,target,model,val_accuracy,val_f1_macro,val_f1_weighted,test_accuracy,test_f1_macro,test_f1_weighted,train_time_s,train_rows_resampled,val_rows,test_rows
Grid_30,temp_qc,LogisticRegression,0.8422,0.3055,0.9142,0.9638,0.3293,0.9812,1151.72,1235787,72708,200887
Grid_30,psal_qc,RandomForest,0.9756,0.7632,0.9784,0.8978,0.3154,0.9461,757.81,1588480,72708,200887
Grid_30,psal_qc,ExtraTrees,0.9308,0.586,0.9465,0.8373,0.3038,0.9115,243.59,1588480,72708,200887
Grid_30,psal_qc,XGBoost,0.9717,0.7648,0.9757,0.8526,0.3068,0.9204,282.15,1588480,72708,200887
Grid_30,psal_qc,CatBoost,0.9308,0.5137,0.9467,0.7494,0.2142,0.8567,791.32,1588480,72708,200887
Grid_30,psal_qc,LightGBM,0.9631,0.771,0.9692,0.8497,0.3062,0.9187,131.59,1588480,72708,200887
Grid_30,psal_qc,LogisticRegression,0.6018,0.2483,0.7245,0.5181,0.1706,0.6826,1959.16,1588480,72708,200887
Grid_48,temp_qc,RandomForest,0.9468,0.4458,0.9656,0.9122,0.2385,0.9529,806.83,1619400,72113,278222
Grid_48,temp_qc,ExtraTrees,0.9269,0.5334,0.9545,0.8893,0.2354,0.9402,187.85,1619400,72113,278222
Grid_48,temp_qc,XGBoost,0.9695,0.4811,0.9787,0.8651,0.2319,0.9266,230.52,1619400,72113,278222
Grid_48,temp_qc,CatBoost,0.9185,0.3224,0.9499,0.8072,0.2234,0.8926,614.77,1619400,72113,278222
Grid_48,temp_qc,LightGBM,0.9645,0.4721,0.9758,0.8861,0.2349,0.9384,119.9,1619400,72113,278222
Grid_48,temp_qc,LogisticRegression,0.6431,0.2085,0.7745,0.5979,0.1882,0.7475,3361.88,1619400,72113,278222
Grid_48,psal_qc,RandomForest,0.972,0.7502,0.9771,0.9058,0.3382,0.9415,759.58,1598908,72113,278222
Grid_48,psal_qc,ExtraTrees,0.9247,0.6121,0.9471,0.8627,0.2722,0.9168,220.08,1598908,72113,278222
Grid_48,psal_qc,XGBoost,0.968,0.76,0.9749,0.8529,0.3618,0.9123,221.54,1598908,72113,278222
Grid_48,psal_qc,CatBoost,0.8946,0.4764,0.9289,0.794,0.3841,0.8778,730.56,1598908,72113,278222
Grid_48,psal_qc,LightGBM,0.9578,0.717,0.968,0.8492,0.2413,0.9087,120.71,1598908,72113,278222
Grid_48,psal_qc,LogisticRegression,0.6129,0.2423,0.7433,0.5569,0.3698,0.7085,3191.63,1598908,72113,278222
Grid_49,temp_qc,RandomForest,0.9738,0.427,0.9833,0.9409,0.2433,0.9693,1153.83,2189380,97026,253887
Grid_49,temp_qc,ExtraTrees,0.9414,0.4017,0.9659,0.9133,0.2405,0.9545,311.68,2189380,97026,253887
Grid_49,temp_qc,XGBoost,0.9804,0.5201,0.987,0.9367,0.2433,0.9671,349.05,2189380,97026,253887
Grid_49,temp_qc,CatBoost,0.9192,0.2994,0.9539,0.8562,0.2313,0.9223,994.13,2189380,97026,253887
Grid_49,temp_qc,LightGBM,0.975,0.5221,0.9841,0.9292,0.2432,0.9631,204.92,2189380,97026,253887
Grid_49,temp_qc,LogisticRegression,0.6028,0.1992,0.7479,0.6342,0.1942,0.776,2581.45,2189380,97026,253887
Grid_49,psal_qc,RandomForest,0.907,0.663,0.9281,0.8047,0.2494,0.8801,1044.21,2098888,97026,253887
Grid_49,psal_qc,ExtraTrees,0.8672,0.5622,0.9019,0.7907,0.2461,0.8716,335.52,2098888,97026,253887
Grid_49,psal_qc,XGBoost,0.9333,0.6561,0.9461,0.8168,0.2541,0.8874,347.79,2098888,97026,253887
Grid_49,psal_qc,CatBoost,0.8696,0.4944,0.9032,0.7426,0.2415,0.8405,920.52,2098888,97026,253887
Grid_49,psal_qc,LightGBM,0.9167,0.6358,0.9347,0.8243,0.2592,0.8919,169.3,2098888,97026,253887
